,ORIGIN_AIRPORT,delay,date
679,GPT,6,2015-12-20
680,GRB,10,2015-12-20
681,GRI,2,2015-12-20
682,GRK,10,2015-12-20
683,GRR,17,2015-12-20
684,GSO,7,2015-12-20
685,GSP,14,2015-12-20
686,GTF,4,2015-12-20
687,GTR,1,2015-12-20
688,GUC,4,2015-12-20
689,HDN,7,2015-12-20
690,HIB,1,2015-12-20
691,HLN,2,2015-12-20
692,HNL,77,2015-12-20
693,HOB,1,2015-12-20
694,HOU,57,2015-12-20
695,HPN,1,2015-12-20
696,HRL,6,2015-12-20
697,HSV,9,2015-12-20
698,HYS,1,2015-12-20
699,IAD,42,2015-12-20
700,IAG,1,2015-12-20
701,IAH,207,2015-12-20
702,ICT,16,2015-12-20
703,IDA,5,2015-12-20
704,ILM,4,2015-12-20
705,IMT,1,2015-12-20
706,IND,44,2015-12-20
707,INL,2,2015-12-20
708,ISN,5,2015-12-20
709,ISP,6,2015-12-20
710,ITH,1,2015-12-20
711,ITO,11,2015-12-20
712,JAC,14,2015-12-20
713,JAN,13,2015-12-20
714,JAX,35,2015-12-20
715,JFK,83,2015-12-20
716,JLN,2,2015-12-20
717,JMS,1,2015-12-20
718,JNU,9,2015-12-20
719,KOA,25,2015-12-20
720,KTN,6,2015-12-20
721,LAN,5,2015-12-20
722,LAS,201,2015-12-20
723,LAW,4,2015-12-20
724,LAX,186,2015-12-20
725,LBB,13,2015-12-20
726,LBE,1,2015-12-20
727,LCH,3,2015-12-20
728,LEX,10,2015-12-20
729,LFT,10,2015-12-20
730,LGA,101,2015-12-20
731,LGB,10,2015-12-20
732,LIH,29,2015-12-20
733,LIT,19,2015-12-20
734,LNK,5,2015-12-20
735,LRD,6,2015-12-20
736,LSE,6,2015-12-20
737,MAF,12,2015-12-20
738,MBS,3,2015-12-20
739,MCI,66,2015-12-20
740,MCO,215,2015-12-20
741,MDT,8,2015-12-20
742,MDW,111,2015-12-20
743,MEI,2,2015-12-20
744,MEM,28,2015-12-20
745,MFE,4,2015-12-20
746,MFR,3,2015-12-20
747,MGM,8,2015-12-20
748,MHK,4,2015-12-20
749,MHT,10,2015-12-20
750,MIA,101,2015-12-20
751,MKE,53,2015-12-20
752,MKG,1,2015-12-20
753,MLB,4,2015-12-20
754,MLI,6,2015-12-20
755,MLU,8,2015-12-20
756,MOB,14,2015-12-20
757,MOT,4,2015-12-20
758,MQT,2,2015-12-20
759,MRY,6,2015-12-20
760,MSN,17,2015-12-20
761,MSO,4,2015-12-20
762,MSP,216,2015-12-20
763,MSY,75,2015-12-20
764,MTJ,5,2015-12-20
765,MYR,9,2015-12-20
766,OAJ,3,2015-12-20
767,OAK,26,2015-12-20
768,OGG,39,2015-12-20
769,OKC,27,2015-12-20
770,OMA,29,2015-12-20
771,ONT,22,2015-12-20
772,ORD,514,2015-12-20
773,ORF,16,2015-12-20
774,OTZ,1,2015-12-20
775,PAH,1,2015-12-20
776,PBG,1,2015-12-20
777,PBI,62,2015-12-20
778,PDX,80,2015-12-20
779,PHF,1,2015-12-20
780,PHL,108,2015-12-20
781,PHX,209,2015-12-20
782,PIA,9,2015-12-20
783,PIB,1,2015-12-20
784,PIH,1,2015-12-20
785,PIT,38,2015-12-20
786,PLN,1,2015-12-20
787,PNS,10,2015-12-20
788,PSC,7,2015-12-20
789,PSE,1,2015-12-20
790,PSG,1,2015-12-20
791,PSP,22,2015-12-20
792,PVD,17,2015-12-20
793,PWM,9,2015-12-20
794,RAP,5,2015-12-20
795,RDM,4,2015-12-20
796,RDU,34,2015-12-20
797,RHI,2,2015-12-20
798,RIC,17,2015-12-20
799,RKS,1,2015-12-20
800,RNO,16,2015-12-20
801,ROA,4,2015-12-20
802,ROC,9,2015-12-20
803,ROW,2,2015-12-20
804,RST,4,2015-12-20
805,RSW,91,2015-12-20
806,SAF,3,2015-12-20
807,SAN,80,2015-12-20
808,SAT,50,2015-12-20
809,SAV,13,2015-12-20
810,SBA,6,2015-12-20
811,SBN,11,2015-12-20
812,SBP,1,2015-12-20
813,SCE,2,2015-12-20
814,SDF,14,2015-12-20
815,SEA,169,2015-12-20
816,SFO,81,2015-12-20
817,SGF,13,2015-12-20
818,SGU,3,2015-12-20
819,SHV,14,2015-12-20
820,SIT,3,2015-12-20
821,SJC,35,2015-12-20
822,SJT,2,2015-12-20
823,SJU,46,2015-12-20
824,SLC,163,2015-12-20
825,SMF,30,2015-12-20
826,SMX,1,2015-12-20
827,SNA,47,2015-12-20
828,SPI,3,2015-12-20
829,SPS,3,2015-12-20
830,SRQ,11,2015-12-20
831,STL,87,2015-12-20
832,STT,11,2015-12-20
833,STX,1,2015-12-20
834,SUN,1,2015-12-20
835,SUX,2,2015-12-20
836,SWF,1,2015-12-20
837,SYR,12,2015-12-20
838,TLH,7,2015-12-20
839,TOL,3,2015-12-20
840,TPA,138,2015-12-20
841,TRI,6,2015-12-20
842,TTN,6,2015-12-20
843,TUL,21,2015-12-20
844,TUS,32,2015-12-20
845,TVC,6,2015-12-20
846,TWF,2,2015-12-20
847,TXK,1,2015-12-20
848,TYR,4,2015-12-20
849,TYS,12,2015-12-20
850,VLD,3,2015-12-20
851,VPS,8,2015-12-20
852,WRG,2,2015-12-20
853,XNA,12,2015-12-20
854,YAK,2,2015-12-20
855,YUM,6,2015-12-20
856,ABE,2,2015-12-21
857,ABI,6,2015-12-21
858,ABQ,22,2015-12-21
859,ABY,1,2015-12-21
860,ACT,5,2015-12-21
861,ACY,7,2015-12-21
862,ADQ,1,2015-12-21
863,AEX,7,2015-12-21
864,AGS,4,2015-12-21
865,ALB,14,2015-12-21
866,ALO,2,2015-12-21
867,AMA,6,2015-12-21
868,ANC,32,2015-12-21
869,APN,1,2015-12-21
870,ASE,14,2015-12-21
871,ATL,573,2015-12-21
872,ATW,5,2015-12-21
873,AUS,59,2015-12-21
874,AVL,5,2015-12-21
875,AVP,2,2015-12-21
876,AZO,4,2015-12-21
877,BDL,28,2015-12-21
878,BFL,4,2015-12-21
879,BGM,1,2015-12-21
880,BGR,1,2015-12-21
881,BHM,23,2015-12-21
882,BIL,7,2015-12-21
883,BIS,4,2015-12-21
884,BJI,1,2015-12-21
885,BLI,3,2015-12-21
886,BMI,7,2015-12-21
887,BNA,70,2015-12-21
888,BOI,17,2015-12-21
889,BOS,143,2015-12-21
890,BPT,1,2015-12-21
891,BQK,2,2015-12-21
892,BQN,1,2015-12-21
893,BRD,2,2015-12-21
894,BRO,7,2015-12-21
895,BRW,2,2015-12-21
896,BTM,2,2015-12-21
897,BTR,12,2015-12-21
898,BTV,9,2015-12-21
899,BUF,28,2015-12-21
900,BUR,22,2015-12-21
901,BWI,93,2015-12-21
902,BZN,5,2015-12-21
903,CAE,11,2015-12-21
904,CAK,12,2015-12-21
905,CDC,1,2015-12-21
906,CDV,1,2015-12-21
907,CHA,7,2015-12-21
908,CHO,4,2015-12-21
909,CHS,27,2015-12-21
910,CID,11,2015-12-21
911,CIU,1,2015-12-21
912,CLE,59,2015-12-21
913,CLL,3,2015-12-21
914,CLT,186,2015-12-21
915,CMH,38,2015-12-21
916,CMI,7,2015-12-21
917,CMX,1,2015-12-21
918,COS,13,2015-12-21
919,COU,4,2015-12-21
920,CPR,2,2015-12-21
921,CRP,10,2015-12-21
922,CRW,6,2015-12-21
923,CSG,2,2015-12-21
924,CVG,41,2015-12-21
925,CWA,1,2015-12-21
