,MONTH,DAY,ORIGIN_AIRPORT,count,year,date
517,12,19,OMA,44,2015,2015-12-19
518,12,19,OME,2,2015,2015-12-19
519,12,19,ONT,48,2015,2015-12-19
520,12,19,ORD,749,2015,2015-12-19
521,12,19,ORF,26,2015,2015-12-19
522,12,19,ORH,2,2015,2015-12-19
523,12,19,OTZ,2,2015,2015-12-19
524,12,19,PAH,2,2015,2015-12-19
525,12,19,PBG,1,2015,2015-12-19
526,12,19,PBI,88,2015,2015-12-19
527,12,19,PDX,140,2015,2015-12-19
528,12,19,PHF,3,2015,2015-12-19
529,12,19,PHL,180,2015,2015-12-19
530,12,19,PHX,432,2015,2015-12-19
531,12,19,PIA,13,2015,2015-12-19
532,12,19,PIB,1,2015,2015-12-19
533,12,19,PIH,1,2015,2015-12-19
534,12,19,PIT,55,2015,2015-12-19
535,12,19,PLN,2,2015,2015-12-19
536,12,19,PNS,17,2015,2015-12-19
537,12,19,PSC,8,2015,2015-12-19
538,12,19,PSE,3,2015,2015-12-19
539,12,19,PSG,2,2015,2015-12-19
540,12,19,PSP,35,2015,2015-12-19
541,12,19,PVD,30,2015,2015-12-19
542,12,19,PWM,16,2015,2015-12-19
543,12,19,RAP,9,2015,2015-12-19
544,12,19,RDD,2,2015,2015-12-19
545,12,19,RDM,6,2015,2015-12-19
546,12,19,RDU,81,2015,2015-12-19
547,12,19,RHI,2,2015,2015-12-19
548,12,19,RIC,33,2015,2015-12-19
549,12,19,RKS,1,2015,2015-12-19
550,12,19,RNO,34,2015,2015-12-19
551,12,19,ROA,6,2015,2015-12-19
552,12,19,ROC,19,2015,2015-12-19
553,12,19,ROW,3,2015,2015-12-19
554,12,19,RST,4,2015,2015-12-19
555,12,19,RSW,115,2015,2015-12-19
556,12,19,SAF,3,2015,2015-12-19
557,12,19,SAN,190,2015,2015-12-19
558,12,19,SAT,75,2015,2015-12-19
559,12,19,SAV,21,2015,2015-12-19
560,12,19,SBA,14,2015,2015-12-19
561,12,19,SBN,14,2015,2015-12-19
562,12,19,SBP,8,2015,2015-12-19
563,12,19,SCC,3,2015,2015-12-19
564,12,19,SCE,3,2015,2015-12-19
565,12,19,SDF,24,2015,2015-12-19
566,12,19,SEA,334,2015,2015-12-19
567,12,19,SFO,435,2015,2015-12-19
568,12,19,SGF,16,2015,2015-12-19
569,12,19,SGU,5,2015,2015-12-19
570,12,19,SHV,18,2015,2015-12-19
571,12,19,SIT,3,2015,2015-12-19
572,12,19,SJC,86,2015,2015-12-19
573,12,19,SJT,5,2015,2015-12-19
574,12,19,SJU,102,2015,2015-12-19
575,12,19,SLC,304,2015,2015-12-19
576,12,19,SMF,93,2015,2015-12-19
577,12,19,SMX,2,2015,2015-12-19
578,12,19,SNA,93,2015,2015-12-19
579,12,19,SPI,5,2015,2015-12-19
580,12,19,SPS,3,2015,2015-12-19
581,12,19,SRQ,14,2015,2015-12-19
582,12,19,STL,120,2015,2015-12-19
583,12,19,STT,22,2015,2015-12-19
584,12,19,STX,5,2015,2015-12-19
585,12,19,SUN,5,2015,2015-12-19
586,12,19,SUX,1,2015,2015-12-19
587,12,19,SWF,2,2015,2015-12-19
588,12,19,SYR,14,2015,2015-12-19
589,12,19,TLH,7,2015,2015-12-19
590,12,19,TOL,2,2015,2015-12-19
591,12,19,TPA,197,2015,2015-12-19
592,12,19,TRI,5,2015,2015-12-19
593,12,19,TTN,9,2015,2015-12-19
594,12,19,TUL,32,2015,2015-12-19
595,12,19,TUS,48,2015,2015-12-19
596,12,19,TVC,7,2015,2015-12-19
597,12,19,TWF,2,2015,2015-12-19
598,12,19,TXK,3,2015,2015-12-19
599,12,19,TYR,5,2015,2015-12-19
600,12,19,TYS,15,2015,2015-12-19
601,12,19,UST,1,2015,2015-12-19
602,12,19,VLD,2,2015,2015-12-19
603,12,19,VPS,15,2015,2015-12-19
604,12,19,WRG,2,2015,2015-12-19
605,12,19,XNA,21,2015,2015-12-19
606,12,19,YAK,2,2015,2015-12-19
607,12,19,YUM,5,2015,2015-12-19
608,12,20,ABE,3,2015,2015-12-20
609,12,20,ABI,7,2015,2015-12-20
610,12,20,ABQ,54,2015,2015-12-20
611,12,20,ABR,2,2015,2015-12-20
612,12,20,ABY,2,2015,2015-12-20
613,12,20,ACT,5,2015,2015-12-20
614,12,20,ACV,4,2015,2015-12-20
615,12,20,ACY,10,2015,2015-12-20
616,12,20,ADK,1,2015,2015-12-20
617,12,20,ADQ,1,2015,2015-12-20
618,12,20,AEX,10,2015,2015-12-20
619,12,20,AGS,7,2015,2015-12-20
620,12,20,ALB,22,2015,2015-12-20
621,12,20,ALO,2,2015,2015-12-20
622,12,20,AMA,8,2015,2015-12-20
623,12,20,ANC,44,2015,2015-12-20
624,12,20,APN,1,2015,2015-12-20
625,12,20,ASE,30,2015,2015-12-20
626,12,20,ATL,1041,2015,2015-12-20
627,12,20,ATW,8,2015,2015-12-20
